City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,tutong,4.8,114.65,300.2,89,100,1.81,BN,1701093979
162,siparia,10.1333,-61.5,302.67,69,4,4.34,TT,1701093980
163,sitka,57.0531,-135.33,280.09,93,100,0.0,US,1701093771
164,valle de la pascua,9.2155,-66.0073,301.94,58,2,4.14,VE,1701093980
165,la'ie,21.6477,-157.9253,296.54,80,100,2.68,US,1701093981
166,puerto ayora,-0.7393,-90.3518,300.13,91,91,3.58,EC,1701093780
167,kirkland lake,48.1446,-80.0377,270.31,93,100,1.03,CA,1701093981
168,ribeira brava,32.65,-17.0667,295.5,68,100,1.95,PT,1701093894
169,minot,48.2325,-101.2963,263.27,79,100,0.0,US,1701093720
170,kangding,30.0513,101.9603,279.36,38,4,2.07,CN,1701093981
171,port douglas,-16.4833,145.4667,297.7,87,100,0.96,AU,1701093895
172,la passe,45.5549,-0.8967,285.28,89,100,9.88,FR,1701093831
173,vadso,70.0744,29.7487,269.24,80,100,5.66,NO,1701093834
174,victoria falls,-17.9235,25.843,308.21,26,40,4.63,ZW,1701093982
175,carnarvon,-24.8667,113.6333,295.61,70,100,8.64,AU,1701093778
176,vorotynets,56.0603,45.8633,273.48,89,100,6.05,RU,1701093982
177,port elizabeth,-33.918,25.5701,298.31,69,0,5.66,ZA,1701093767
178,codrington,-38.2667,141.9667,284.67,88,60,5.21,AU,1701093840
179,daru,-9.0763,143.2092,299.38,87,100,2.96,PG,1701093849
180,mountain home,43.133,-115.6912,267.27,84,0,2.57,US,1701093983
181,minas de marcona,-15.2119,-75.1103,291.59,65,43,4.96,PE,1701093769
182,selkirk,50.1436,-96.8845,259.19,83,34,1.34,CA,1701093983
183,charters towers,-20.1,146.2667,295.82,84,100,3.67,AU,1701093873
184,rotonda west,26.8837,-82.2901,293.7,96,100,4.02,US,1701093983
185,alta,69.9689,23.2717,260.74,92,0,2.57,NO,1701093983
186,huarmey,-10.0681,-78.1522,294.59,79,82,4.0,PE,1701093983
187,sipalay,9.75,122.5,298.36,95,91,2.05,PH,1701093984
188,puerto carreno,6.189,-67.4859,301.14,83,20,4.12,CO,1701093984
189,keren,15.7778,38.4581,297.95,39,40,6.31,ER,1701093984
190,kodiak,57.79,-152.4072,276.88,56,0,6.69,US,1701093803
191,santana,-0.0583,-51.1817,306.25,58,40,4.12,BR,1701093855
192,cabo san lucas,22.8909,-109.9124,296.77,75,0,4.63,MX,1701093656
193,raja,8.4596,25.678,308.58,25,100,2.48,SS,1701093985
194,eydhafushi,5.1033,73.0708,301.25,75,100,2.17,MV,1701093985
195,seguela,7.9611,-6.6731,305.63,45,87,1.7,CI,1701093986
196,jacksonville,30.3322,-81.6556,287.27,89,100,5.14,US,1701093631
197,afaahiti,-17.75,-149.2833,296.08,85,49,7.63,PF,1701093813
198,kourou,5.1552,-52.6478,304.18,70,49,4.27,GF,1701093986
199,mandal,25.45,74.5667,292.15,70,66,2.19,IN,1701093986
200,baharly,38.4362,57.4316,294.02,27,39,3.71,TM,1701093986
201,tanjung pandan,-2.75,107.65,298.89,86,100,2.65,ID,1701093880
202,urucara,-2.5364,-57.76,303.76,60,79,1.69,BR,1701093987
203,solnechnyy,50.7214,136.6319,254.28,96,59,1.06,RU,1701093987
204,kodinsk,58.6881,99.1844,251.21,98,8,0.8,RU,1701093853
205,port alfred,-33.5906,26.891,297.69,80,4,2.68,ZA,1701093810
206,bamboo flat,11.7,92.7167,302.2,79,75,5.14,IN,1701093841
207,stanley,54.868,-1.6985,279.29,94,40,3.6,GB,1701093767
208,armidale,-30.5167,151.65,287.79,84,100,2.64,AU,1701093988
209,veigne,47.2856,0.7408,282.12,90,100,5.14,FR,1701093988
210,walvis bay,-22.9575,14.5053,292.64,66,23,4.52,NA,1701093896
211,salekhard,66.53,66.6019,251.96,98,100,0.7,RU,1701093774
212,port augusta,-32.5,137.7667,294.33,66,20,1.77,AU,1701093988
213,al muwayh,22.4333,41.7583,302.61,23,73,2.36,SA,1701093988
214,smithers,54.7804,-127.1743,272.33,86,100,1.54,CA,1701093989
215,tazovsky,67.4667,78.7,256.1,97,98,3.21,RU,1701093804
216,carutapera,-1.195,-46.02,303.73,61,99,4.42,BR,1701093889
217,arkhangel'sk,64.5401,40.5433,259.33,89,100,4.13,RU,1701093989
218,saldanha,-33.0117,17.9442,300.18,81,46,8.67,ZA,1701093989
219,taoudenni,22.6783,-3.9836,299.15,10,0,3.41,ML,1701093989
220,mata-utu,-13.2816,-176.1745,302.2,76,97,7.92,WF,1701093886
221,faya-largeau,17.9257,19.1043,305.09,13,47,8.23,TD,1701093990
222,chashniki,54.8569,29.1607,267.5,94,100,8.85,BY,1701093990
223,masuguru,-11.3667,38.4167,306.47,38,68,3.86,TZ,1701093990
224,cumpana,44.1167,28.5667,273.46,73,3,7.28,RO,1701093991
225,aasiaat,68.7098,-52.8699,266.89,94,100,4.38,GL,1701093839
226,pyay,18.8167,95.2167,295.83,74,15,2.74,MM,1701093991
